9,8065436531839204602,7582920333863764316,19,7139614830399507171,1,5764286598548295635,727,1466989421450202775,1,5066632875684109286,271,4569807803215471719,1
11,8851961914436153007,5503790556212467999,168,108585567935242084,1,2454359312057726500,868,2392427914636457096,1,7574042278579347297,49,8629834762960795096,1
14,6100930321776338204,5108130543099472796,48,5355208230451189431,1,2706554921407182311,711,520080388720846366,1,8456868290812648013,543,6032418197348723315,1
22,8878082922560328142,2434511099449278174,377,7426915429915546041,1,7762952370559875062,926,5041222224267485182,1,5086729016490219189,860,3401155493693243880,1
89,7057742602222506492,5013466949458112198,752,7023241089216881775,1,3538782176919808940,118,6490728836349552087,1,5200294291067609489,891,48687844014163334,1
111,544801489791982501,9049368507859150100,565,6409812838408781169,1,6201964758820485371,760,3227309150082258902,1,8169199232575280534,584,626742228377868274,1
118,4183593628489651797,6324389889884455873,366,541666588317727129,1,1619273631518996011,192,1302152759395825099,1,4121158649881983986,478,8404640155506371862,1
126,4927171751056974330,6908331177384411670,870,927914018463811868,1,2841520145158616812,752,4158550373027474163,1,9006535596249501489,616,2937139102906877700,1
129,2577498931872189749,3503740461577561847,561,3947474273131296758,1,7728915150839717696,376,4064086297060434605,1,5177746694192566916,619,2409998798817625394,1
160,1329570213046100726,9076662871627232690,142,8433325921283660712,1,1233969182177586957,955,5991731541012022263,1,7416966686312969980,281,7967484241404271281,1
180,2317777785568685587,3791879268735615827,441,2134888023315855802,1,6708146463544113728,244,6490158492102561461,1,8080236168796986721,562,767051783821936265,1
184,2182965555340661971,787467860085306006,321,613359572726760311,1,1141503704769647699,841,1338225735946965501,1,567226953607072196,186,5148343716878463160,1
202,6613484505608830056,8305667372113495632,793,2698012236863682679,1,1824684258434060293,604,8425035594313980313,1,8709030579014765656,87,3430313189636709809,1
203,498338840772903257,8314863740450934771,720,2600073528872338677,1,7606945200010308600,569,8472340654608942868,1,8571901028456127803,132,1797880385647639442,1
205,6704885382778580481,717327189016213326,878,9034568197985890306,1,3392461032753505660,664,3984028450523118785,1,284215069908101710,780,3493339601930675992,1
215,4201626498409278391,1790376944083586159,665,3807463089694924442,1,7216522642848855936,774,6285516305243601732,1,916849249395833394,550,6777877143099693751,1
220,6366670083292911181,3343721499896203230,208,5119147641661275269,1,458882182284709641,637,6723300132735311310,1,3959990579875593715,640,7397382315860824931,1
229,3319542000228168135,2634561990210040891,490,8500238767669083260,1,2289178911165676038,840,85794878338034533,1,5857615516999935515,239,6356742063942923202,1
238,644934712425897195,4743398937774841992,520,4932458365787215573,1,2449405180433039338,582,767703401863527289,1,7914279307376132039,377,8384909535178158298,1
259,702391409513335817,2931623692641995371,388,1252327224189794576,1,3608718153604916216,750,8861440759941969742,1,2220253172791546450,682,5814014504532694501,1
355,2701589403763614764,280875987117559560,753,5934499870842993598,1,2216445707133341673,301,251198027133698751,1,8711491621946578575,776,4077190884604677824,1
428,5487017248170865651,8097098760139509078,553,3121245036362992688,1,2724267356683734224,485,3547680570604205874,1,486916838758993817,730,82997191794134149,1
430,7338566916804484006,2488780915963818890,414,8817272371668688827,1,3272879475740381187,880,8833645283572899954,1,9127007478671256015,473,7163986833397318286,1
460,2913834689873670797,3054929707729474468,437,2315089502995638422,1,4442782871921648903,819,5232060365162623736,1,1760548588642306941,724,8916499054794749837,1
466,3768891830464372287,2875519638820036253,128,6224641735187146500,1,1741658141866256819,172,953750689083178973,1,3565971876095501563,754,5314733956032971861,1
488,2806924892523042439,5413011511261003142,514,116430892340560670,1,5444975516535174016,706,3365656482899925450,1,3351039270367471230,895,7112337750740826398,1
509,1538941234501911888,2714591940700211794,827,2541984840638452225,1,4704771225440649821,32,1052396945291023801,1,2137185177758633570,200,2928895130091147101,1
509,7313888585891940142,965174262177607879,665,8355689983494056008,1,2363052050068870852,401,5032456989507248671,1,3625800444155192810,566,1996956520655217024,1
548,8266325875154961698,3072402897292638518,509,6749049790039737262,1,7840402191090388027,632,434118585379372954,1,2680396641833663977,483,7754242474868860668,1
584,4908790597324210438,5860507506486631598,891,8260545732633586819,1,816531699968437472,205,1853460124064885283,1,9219176701851323663,599,4563427678706311301,1
608,6953108416521905503,1699249542891264953,7,893817999098014264,1,3640383746884353840,636,2998545619278917515,1,39383321318526883,290,4434502344841376064,1
636,3040861242440020281,4549695834253304601,895,564124245453947774,1,2683638001039748963,336,2700532271023592360,1,7121414004211842448,637,3208173828454386690,1
674,5798877348759116706,8726085190605069724,666,9040917800355026131,1,6730652856324402517,581,5213574362603344034,1,8162222618761423249,530,1639972678628458143,1
678,3045547837176482753,214716764299025859,696,7950768667103113846,1,6154951245030934822,227,8915291374860460370,1,866868526470452269,397,5613710748443135134,1
683,2552381318869951035,8465243897436781570,828,2526902943194878326,1,2068286257515089866,357,6327363166653619875,1,8661681855600435158,846,1422412495419504365,1
711,344620416830089731,7650605161698057371,770,6496928444607786004,1,6214497770764002090,564,8644364642823926397,1,5547626662987245444,157,2879626488615614532,1
